tier	id	title	md_source	md_source_id	summary_len	cover_real	n_authors	n_genres	n_synonyms	n_gallery	n_volumes	n_chapters	n_readable	average_score	title_in_synonyms
A_CORRECT	474	Call of the Night	anilist	111233	829	t	1	8	11	142	21	206	99	81	t
A_CORRECT	1998	Canariatachi no Fune	anilist	97472	447	t	1	5	5	0	1	6	0	63	t
A_CORRECT	3741	Canis: Dear Hatter	anilist	114330	512	t	1	7	4	2	2	16	0	76	t
A_CORRECT	3719	Cantarella	anilist	30984	588	t	1	8	2	7	12	49	0	62	t
A_CORRECT	2212	Case Closed	anilist	31061	685	t	1	7	9	25	108	1106	0	82	t
A_CORRECT	2231	Ceres Celestial Legend	anilist	30083	783	t	1	10	4	0	14	83	0	69	f
A_CORRECT	4644	Chainsaw Man	anilist	105778	690	t	1	10	11	263	25	238	0	85	t
A_CORRECT	476	Chainsaw Man - Color	anilist	105778	690	t	1	10	11	118	25	233	0	85	f
A_CORRECT	1648	Chainsaw Man Buddy Stories	anilist	138829	425	t	2	6	3	257	24	232	0	75	f
A_CORRECT	4344	Chameleon	anilist	49640	233	t	1	5	4	5	47	430	0	67	t
A_CORRECT	3714	Cheat Mode Farming in Another World	anilist	137901	546	t	2	8	4	11	9	81	0	66	t
A_CORRECT	2580	Chi's Sweet Home	anilist	31397	558	t	1	3	12	0	12	228	0	76	t
A_CORRECT	2539	Chibi Maruko-chan	anilist	45530	673	t	2	4	4	0	15	120	0	67	t
A_CORRECT	2361	Chobits	anilist	30107	571	t	1	8	5	96	9	88	0	75	t
C_GENERIC	4027	Chou Reviewer Bono-chan	anilist	210100	51	t	1	4	2	0	0	1	0	60	t
A_CORRECT	4038	Chrome Shelled Regios	anilist	37533	429	t	1	7	4	0	25	157	0	63	t
A_CORRECT	4828	Chronicles of an Aristocrat Reborn in Another World	anilist	103238	573	t	2	6	4	18	21	79	0	68	t
A_CORRECT	2616	Classroom of the Elite	anilist	94970	585	t	1	8	7	12	54	112	0	85	t
A_CORRECT	4656	Claymore	anilist	30583	399	t	1	8	4	86	28	163	0	81	t
C_GENERIC	477	Code Geass - Lelouch of the Re;surrection	anilist	116767	74	t	2	5	3	9	8	72	0	64	f
A_CORRECT	478	Code Geass - Lelouch of the Rebellion	anilist	31528	1001	t	2	8	4	9	9	41	0	73	f
A_CORRECT	479	Code Geass - Lelouch of the Rebellion Re;	anilist	126416	817	t	3	8	3	9	9	26	4	71	f
A_CORRECT	480	Code Geass - Nightmare of Nunnally	anilist	31547	287	t	2	6	5	34	8	26	0	64	f
A_CORRECT	481	Code Geass - Oz the Reflection	anilist	72381	666	t	1	7	3	32	8	24	0	58	f
A_CORRECT	482	Code Geass - Oz the Reflection O2	anilist	141972	157	t	1	7	3	29	9	20	0	63	f
A_CORRECT	483	Code Geass - Shikkoku no Renya	anilist	47311	560	t	1	6	4	9	8	40	0	60	f
A_CORRECT	484	Code Geass - Suzaku of the Counterattack	anilist	31530	1101	t	2	7	4	9	8	8	0	57	f
A_CORRECT	1843	Code Geass: Suzaku of the Counterattack	anilist	31530	1101	t	2	7	4	0	2	8	0	57	t
A_CORRECT	4351	Combatants Will Be Dispatched!	anilist	101808	640	t	2	8	4	14	19	84	0	70	t
